linha,descricao,agencia,sequencia,latitude,longitude
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,4,"-22.836","-43.3476"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,4,"-22.8341","-43.3468"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,20,"-22.9086","-43.1874"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,28,"-22.9137","-43.1811"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,26,"-22.8287","-43.3464"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,6,"-22.8513","-43.3549"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,1,"-22.8315","-43.3478"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,3,"-22.8313","-43.3503"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,33,"-22.9101","-43.206"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,36,"-22.9086","-43.1949"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,34,"-22.9113","-43.175"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,3,"-22.836","-43.3476"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,19,"-22.8295","-43.3471"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,25,"-22.8275","-43.3475"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,41,"-22.8518","-43.3533"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,10,"-22.8522","-43.3496"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,26,"-22.83","-43.3479"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,19,"-22.8309","-43.3508"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,23,"-22.8264","-43.3493"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,24,"-22.8275","-43.3475"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,36,"-22.85","-43.35"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,15,"-22.8434","-43.3493"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,39,"-22.9122","-43.1893"
362,362-HONORIO GURGEL X PRACA XV (RAPIDO),Fetranspor,30,"-22.8389","-43.35"
